 ,Restaurant,Number,DateNumber,Weight,Type,Note,Primary category,Single Ingredient?,Meat Y/N/U,Ingredients,Content 1,Content 2,Content 3,Content 4,Content 5,,,,,,,,,,,,
06/11/23,Diner,544,06/11/2023544,24,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"bread, salad, cheese, coffee, flour, cake",bread, salad, cheese, coffee, flour, cake,,High Generator,,,,,,,,,Coffee Grounds
06/11/23,Colonie,415,06/11/2023415,18,Pre,,"Vegetable: Stalks, Ends",Y,N,vegetable scrap,vegetable scrap,,,,,,,#REF!,,,,,,,,,Citrus Peels / Skins
06/11/23,Electric Beets,584,06/11/2023584,24,Pre,,Fruit Byproduct,Y,N,fruit pulp,fruit pulp,,,,,,,High Generator,,,,,,,,,Fish Byproduct
06/11/23,Electric Beets,2439,06/11/20232439,17.6,Pre,,Vegetable: Peels,N,N,"vegetables, carrots, lemon, celery ",vegetables, carrots, lemon, celery ,,,,High Generator,,,,,,,,,Eggshells
06/11/23,Rhodora,1151,06/11/20231151,24.6,Post,,Mixed Streams,N,Y,"cooked meat, bread, pasta, ",cooked meat, bread, pasta, ,,,,Med Generator,,,,,,,,,Oyster Shells
06/11/23,LaLou,941,06/11/2023941,19.6,Post,,Mixed Streams,N,U,"rice, oranges, oyster shells, lemons / limes",rice, oranges, oyster shells, lemons / limes,,,,Med Generator,,,,,,,,,Seafood Shells
06/11/23,Miss Ada,1272,06/11/20231272,23.6,Pre,,Vegetable: Peels,Y,U,"vegetable prep, potato,",vegetable prep, potato,,,,,,Med Generator,,,,,,,,,Rice
06/11/23,Miss Ada,1131,06/11/20231131,27,Meat,,Cooked Poultry Discard,Y,Y,poultry byproduct,poultry byproduct,,,,,,,Med Generator,,,,,,,,,Spent Grain
06/11/23,Margot,1019,06/11/20231019,21.6,Mixed,,Mixed Streams,N,U,"bread, pre consumer veg, cake",bread, pre consumer veg, cake,,,,,Med Generator,,,,,,,,,"Grain, Flour"
06/11/23,Margot,1427,06/11/20231427,13.2,Pre,,Fish Byproduct,Y,N,"squid byproduct, fish byproduct",squid byproduct, fish byproduct,,,,,,Med Generator,,,,,,,,,"Bread, Baked Items"
06/11/23,Diner,361,06/11/2023361,28.8,Post,,Plate Scrapings: Generic,N,U,"french fries, potatos, bread, vegetable",french fries, potatos, bread, vegetable,,,,High Generator,,,,,,,,,General Carbs/Starches
06/11/23,#N/A,1226,06/11/20231226,33,Post,,Plate Scrapings: Generic,N,Y,"meat, plate scrapings",meat, plate scrapings,,,,,,#N/A,,,,,,,,,Cooked Poultry Discard
